iso3,month,hdx_alert_level,hdx_value
COD,2002-04-01,"['Medium concern', 'High concern']",3602.0
COD,2004-12-01,['Medium concern'],104.0
COD,2005-07-01,['Medium concern'],111.0
COD,2006-08-01,['Medium concern'],117.0
COD,2007-02-01,['High concern'],151.0
COD,2008-09-01,"['Medium concern', 'High concern']",320.0
COD,2012-01-01,['Medium concern'],124.0
COD,2012-08-01,['Medium concern'],227.0
COD,2013-03-01,['Medium concern'],291.0
COD,2013-12-01,['High concern'],514.0
COD,2015-04-01,"['Medium concern', 'High concern']",1021.0
COD,2016-06-01,['Medium concern'],140.0
COD,2016-12-01,['Medium concern'],269.0
COD,2017-04-01,['High concern'],611.0
COD,2018-02-01,['Medium concern'],1.0
COD,2018-12-01,['High concern'],741.0
COD,2019-06-01,['High concern'],0.07
COD,2019-10-01,['Medium concern'],53405.041474654376
COD,2020-01-01,['Medium concern'],18965.517241379315
COD,2020-04-01,['Medium concern'],162424.1238752167
COD,2020-07-01,['High concern'],0.09
COD,2020-10-01,['Medium concern'],4.5
COD,2021-01-01,['Medium concern'],239255.4050741608
COD,2021-04-01,['High concern'],33.0
COD,2021-05-01,"['Medium concern', 'High concern']",318222.18996096763
COD,2021-11-01,"['Medium concern', 'High concern']",328753.1748828773
COD,2022-03-01,['Medium concern'],16.0
COD,2022-12-01,['Medium concern'],248927.3448249621
COD,2023-06-01,['Medium concern'],1.0
COD,2023-10-01,"['Medium concern', 'High concern']",604619.9017177137
COD,2024-01-01,['Medium concern'],53941.797162529314
COD,2024-06-01,"['Medium concern', 'High concern']",562898.891949808
COD,2025-01-01,['High concern'],920566.766270515
COD,2025-09-01,['Medium concern'],0.22
COD,2025-11-01,['High concern'],4.6
COD,2025-12-01,['Medium concern'],63330.00000000001
COG,1998-12-01,['Medium concern'],100.0
COG,2009-11-01,['High concern'],100.0
COG,2023-12-01,['High concern'],79208.5
COL,2019-03-01,['Medium concern'],158.0
COL,2020-04-01,['Medium concern'],4.2
COL,2020-08-01,['Medium concern'],147.0
COL,2021-04-01,['High concern'],233.0
COL,2022-01-01,['High concern'],240.0
COL,2023-03-01,['Medium concern'],4.1
COL,2023-08-01,['High concern'],5499.833333333333
COL,2023-12-01,['Medium concern'],211.0
COL,2024-07-01,['Medium concern'],4.1
COL,2025-01-01,"['Medium concern', 'High concern']",539.0
COL,2025-02-01,['High concern'],50087.0
COL,2026-02-01,['Medium concern'],1.0
CUB,2017-09-01,['Medium concern'],1.0
CUB,2020-08-01,['Medium concern'],129799.33333333334
CUB,2022-09-01,['Medium concern'],79763.0
CUB,2024-10-01,['High concern'],135059.0
CUB,2025-10-01,['High concern'],663887.0
CUB,2026-02-01,['Medium concern'],1.0
DJI,2017-09-01,['Medium concern'],1.0
DJI,2018-05-01,['Medium concern'],1.0
DJI,2020-11-01,['Medium concern'],3.0
DJI,2021-11-01,['Medium concern'],10.0
DJI,2022-09-01,['Medium concern'],11.0
DJI,2023-04-01,['High concern'],0.08
DJI,2024-04-01,"['Medium concern', 'High concern']",3.24
DJI,2025-05-01,['High concern'],0.05
DOM,2020-10-01,['Medium concern'],11.0
DOM,2023-11-01,['High concern'],50060.0
DZA,1999-12-01,['Medium concern'],135.0
DZA,2003-09-01,['Medium concern'],159.0
DZA,2007-04-01,['High concern'],113.0
DZA,2008-08-01,['High concern'],133.0
DZA,2016-11-01,['Medium concern'],1.0
DZA,2017-06-01,['Medium concern'],1.0
DZA,2020-04-01,['Medium concern'],1.0
DZA,2021-02-01,['Medium concern'],1.0
DZA,2022-01-01,['Medium concern'],1.0
DZA,2023-01-01,['Medium concern'],1.0
DZA,2023-11-01,['Medium concern'],1.0
DZA,2025-01-01,['Medium concern'],1.0
DZA,2026-01-01,['Medium concern'],1.0
ECU,2018-03-01,['Medium concern'],1.0
ECU,2025-02-01,['Medium concern'],3.5
ECU,2025-09-01,['High concern'],376.0
EGY,2013-07-01,['High concern'],101.0
EGY,2014-02-01,['High concern'],236.0
EGY,2015-02-01,"['Medium concern', 'High concern']",476.0
EGY,2015-09-01,['High concern'],591.0
EGY,2017-11-01,['Medium concern'],416.0
EGY,2019-01-01,['Medium concern'],190.0
EGY,2022-03-01,['Medium concern'],17.0
ERI,1998-06-01,['Medium concern'],636.0
ERI,1999-02-01,['Medium concern'],1846.0
ERI,2005-07-01,['High concern'],161.0
ERI,2008-10-01,['High concern'],166.0
ERI,2017-01-01,['Medium concern'],1.0
ERI,2017-08-01,['Medium concern'],1.0
ERI,2017-10-01,['High concern'],2.0
ERI,2023-09-01,['Medium concern'],3.7
ETH,1998-05-01,['Medium concern'],108.0
ETH,1999-02-01,['Medium concern'],1018.0
ETH,2002-04-01,['Medium concern'],324.0
ETH,2005-04-01,['Medium concern'],404.0
ETH,2007-07-01,"['Medium concern', 'High concern']",819.0
ETH,2009-10-01,['Medium concern'],270.0
ETH,2009-11-01,['High concern'],776.0
ETH,2012-05-01,['Medium concern'],256.0
ETH,2013-01-01,['Medium concern'],266.0
ETH,2014-06-01,['Medium concern'],181.0
ETH,2015-08-01,['Medium concern'],100.0
ETH,2016-04-01,['High concern'],281.0
ETH,2016-10-01,['High concern'],423.0
ETH,2017-04-01,['Medium concern'],1.0
ETH,2018-05-01,['Medium concern'],1.0
ETH,2019-03-01,['Medium concern'],1.0
ETH,2019-05-01,['Medium concern'],105062.31392931392
ETH,2019-09-01,['Medium concern'],0.28
ETH,2020-01-01,['Medium concern'],1.0
ETH,2020-04-01,['Medium concern'],155376.59999999998
ETH,2020-08-01,['High concern'],0.06
ETH,2020-09-01,['Medium concern'],1.0
ETH,2020-10-01,['Medium concern'],113.0
ETH,2020-11-01,"['High concern', 'Medium concern']",28512.699999999997
ETH,2021-03-01,['Medium concern'],1.0
ETH,2021-04-01,['Medium concern'],15.0
ETH,2021-05-01,['High concern'],0.02
ETH,2021-06-01,['Medium concern'],4.7
ETH,2022-01-01,['Medium concern'],11.0
ETH,2022-06-01,['High concern'],2.0
ETH,2022-08-01,['Medium concern'],240263.94571203776
ETH,2023-05-01,['Medium concern'],11.0
ETH,2023-08-01,['Medium concern'],1.0
ETH,2023-11-01,"['Medium concern', 'High concern']",152109.19892473117
ETH,2023-12-01,['Medium concern'],12.0
ETH,2024-04-01,['Medium concern'],4.4
ETH,2025-03-01,['Medium concern'],1373.0
ETH,2025-07-01,['Medium concern'],1.0
ETH,2025-08-01,['Medium concern'],339999.99999999994
ETH,2025-10-01,['Medium concern'],877.0
ETH,2026-02-01,['High concern'],2.0
GHA,2001-05-01,['High concern'],126.0
GHA,2017-05-01,['Medium concern'],1.0
GHA,2020-10-01,['High concern'],35.0
GHA,2021-06-01,['Medium concern'],16.0
GHA,2022-03-01,['Medium concern'],13.0
GHA,2022-11-01,['Medium concern'],18.0
GHA,2024-08-01,['Medium concern'],1.0
GHA,2025-08-01,['Medium concern'],1.0
GIN,1999-06-01,['Medium concern'],353.0
GIN,2000-09-01,['Medium concern'],102.0
GIN,2018-05-01,['Medium concern'],1.0
GMB,2018-08-01,['Medium concern'],1.0
GMB,2019-07-01,['Medium concern'],1.0
GMB,2021-01-01,['Medium concern'],16.0
GMB,2022-01-01,['Medium concern'],22.0
GMB,2022-03-01,['High concern'],5626.0
GMB,2023-06-01,['Medium concern'],21.0
GMB,2024-08-01,['Medium concern'],1.0
GTM,2019-04-01,['Medium concern'],100.0
GTM,2020-11-01,['Medium concern'],1.0
GTM,2021-11-01,['Medium concern'],3.5
GTM,2022-04-01,['Medium concern'],0.26
GTM,2022-06-01,['High concern'],3.6
GTM,2022-10-01,['Medium concern'],1.0
GTM,2023-05-01,"['High concern', 'Medium concern']",101.24
HND,2019-02-01,['High concern'],0.06
HND,2019-05-01,['Medium concern'],104.0
HND,2019-08-01,['Medium concern'],1.0
HND,2019-09-01,['High concern'],2.0
HND,2019-11-01,"['Medium concern', 'High concern']",123.05
HND,2020-04-01,['Medium concern'],3.3
HND,2020-11-01,['Medium concern'],21.0
HND,2021-01-01,['Medium concern'],0.35
HND,2021-08-01,['Medium concern'],11.0
HND,2021-11-01,['Medium concern'],3.7
HND,2022-01-01,['Medium concern'],1.31
HND,2022-10-01,['Medium concern'],1.0
HND,2023-02-01,['Medium concern'],0.25
HND,2023-06-01,['High concern'],115.0
HTI,2017-09-01,['Medium concern'],1.0
HTI,2018-06-01,['Medium concern'],1.0
HTI,2018-10-01,['High concern'],0.08
HTI,2019-10-01,['High concern'],0.12
HTI,2020-03-01,['Medium concern'],3.5
HTI,2020-06-01,['Medium concern'],1.0
HTI,2020-07-01,['Medium concern'],105.0
HTI,2020-08-01,['High concern'],0.12
HTI,2020-10-01,['Medium concern'],5334.642857142857
HTI,2021-03-01,['Medium concern'],3.8
HTI,2021-06-01,['High concern'],6851.590909090909
HTI,2021-08-01,"['Medium concern', 'High concern']",54937.25
HTI,2021-09-01,['Medium concern'],0.46
HTI,2022-04-01,['High concern'],198.0
HTI,2022-06-01,"['Medium concern', 'High concern']",5.2
HTI,2022-09-01,['Medium concern'],15.0
HTI,2022-11-01,['Medium concern'],5046.534550195568
HTI,2023-04-01,['High concern'],400.0
