iso3,month,risk_3,risk_12,logfat_risk_3,logfat_risk_12
AFG,2022-02-01,0.996859993660478,0.9985555555555558,4.97614175567582,7.753734140170642
AFG,2022-03-01,0.9948736862266274,1.0,5.090015577692003,8.076369165830918
AFG,2022-04-01,0.9986837083939422,1.0,6.468661137363516,8.843799526299744
AFG,2022-05-01,0.997517896047308,0.9977319023569023,6.388374815552254,8.563743673276655
AFG,2022-06-01,0.9989144736842104,0.9987989417989418,6.367555918268852,8.272783257520027
AFG,2022-07-01,0.9988263888888887,0.999595238095238,5.941029618663497,7.948180632065131
AFG,2022-08-01,0.9986458857047092,0.9997619047619049,5.887259135704738,7.599323339861916
AFG,2022-09-01,0.9979887523324056,0.9994212962962964,6.468773297536868,8.091058105840464
AFG,2022-10-01,0.9996078431372548,0.9998484848484848,6.221795338342683,7.615761451233834
AFG,2022-11-01,0.998702791461412,0.9992156862745096,6.010608688499549,7.472633510981815
AFG,2022-12-01,0.9981938997821352,0.9989680799220276,5.869663668901147,7.650076056348947
AFG,2023-01-01,0.9973650793650796,0.9991911764705882,5.727011756798202,7.48087338746171
AFG,2023-02-01,0.998095238095238,0.9994171539961012,5.482485320906697,7.350496336454559
AFG,2023-03-01,0.9911280908733456,0.9992857142857144,5.3819924731039945,7.396098476407002
AFG,2023-04-01,0.955602246676728,0.999057239057239,5.391265939339065,7.349998984013927
AFG,2023-05-01,0.6903158700876386,0.8948550385210503,5.297198264000501,6.7455087761718175
AFG,2023-06-01,0.8106786408628117,0.96636033014488,5.161010800061586,6.7529726806039685
AFG,2023-07-01,0.6842322557976548,0.914068557350338,4.743415919372181,6.586699671371629
AFG,2023-08-01,0.8522651389262085,0.9779856167346818,4.653746900124369,6.789865091759506
AFG,2023-09-01,0.6923545576986253,0.9038735857747744,4.573459281206736,6.439630772470435
AFG,2023-10-01,0.8509220105272471,0.9827102819226704,4.860219875481275,6.6721665911998285
AFG,2023-11-01,0.8633052121414116,0.9907999592211016,4.654012982296833,6.628516229471077
AFG,2023-12-01,0.6870310763216888,0.9091883978168652,4.722965731197327,6.2132511154639305
AFG,2024-01-01,0.8098396545593438,0.971095789357698,4.569274332477985,6.446077256703
AFG,2024-02-01,0.6831315910301899,0.9027495060558698,4.203244566553758,5.954945947005065
AFG,2024-03-01,0.871520571418409,0.9742940020715734,4.62029554027272,6.572263477640194
AFG,2024-04-01,0.6816848971549387,0.9150312182643,4.498391576815459,6.038421792559243
AFG,2024-05-01,0.8536768466360721,0.9663577446874004,5.154676567501145,6.508384251497675
AFG,2024-06-01,0.6930694476371432,0.913861760440951,4.559053572948872,6.2478190631682535
AFG,2024-07-01,0.6836490783308414,0.9077353191750988,4.501602968705407,6.012980445177522
AFG,2024-08-01,0.6551237390543113,0.9032601477392296,4.477036115980845,6.251108754271092
AFG,2024-09-01,0.7755700427809017,0.9673958464392562,4.5062642446099,6.457312330946544
AFG,2024-10-01,0.6890086182544444,0.9044487291919444,4.598196949659622,6.095707309144229
AFG,2024-11-01,0.6790229373944922,0.9259879122664464,4.532587564297623,6.238650963807286
AFG,2024-12-01,0.8639334959845791,0.981899820280368,5.197647898027316,6.780408565913234
AFG,2025-01-01,0.6837208500183276,0.9095865308901572,5.061316588071284,6.340521202808252
AFG,2025-02-01,0.8675822222006845,0.989445144357453,5.127866727100204,6.495902196459436
AFG,2025-03-01,0.6729684044939935,0.9142454787390712,4.597964761174092,6.186241982022152
AFG,2025-04-01,0.6804264575851351,0.92255392503977,4.454661919729651,6.282636109871254
AFG,2025-05-01,0.654001739418713,0.90309432550669,4.476466729525755,6.208099455627049
AFG,2025-06-01,0.7614763875278523,0.9790897605709752,4.560815322480599,6.351804498188543
AFG,2025-07-01,0.6679063674115517,0.9170691418352114,4.441662421347643,6.182958582945936
AFG,2025-08-01,0.6468391457614642,0.9127738255647476,4.443791107842134,6.160367891319886
AFG,2025-09-01,0.6187032982183345,0.9091893902614998,4.351464150887789,6.034915375209072
AFG,2025-10-01,0.7331120101771045,0.9911629695961688,5.452341714144733,6.777595810529648
AFG,2025-11-01,0.82384683923105,0.9905981201747456,5.109563551502325,6.4055404149990745
AFG,2025-12-01,0.6605669970573306,0.9344710988283264,4.867106876325615,6.144539792971727
AFG,2026-01-01,0.6500104271504237,0.915325619006446,4.401779005560955,6.155197730160196
AFG,2026-02-01,0.7864661538513712,0.9825094207890576,5.591061567011984,6.938795148509812
AFG,2026-03-01,0.8906467899125596,0.9901916484797948,6.038520032755297,7.181710451365064
AGO,2010-01-01,0.1088898427221966,0.3271223273717646,0.852052665356093,2.3356414891890327
AGO,2010-02-01,0.0895132076341446,0.2852140159883709,0.7113185200077753,1.9831258877244848
AGO,2010-03-01,0.0859830508573002,0.269558026239098,0.6494954384378259,1.833493106535476
AGO,2010-04-01,0.0782341511137109,0.2474725796862943,0.6171114379288007,1.749701972956403
AGO,2010-05-01,0.0945631447206535,0.2847378960898392,1.044447863964722,2.46483001477286
