iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
KOR,2019-02-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Mob violence']","['Demonstrations', 'Political violence']",304,0
LBN,2019-02-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Riots', 'Battles', 'Explosions/Remote violence']","['Peaceful protest', 'Arrests', 'Change to group/activity', 'Attack', 'Violent demonstration', 'Armed clash', 'Grenade', 'Other', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",45,0
LBR,2019-02-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Looting/property destruction']","['Demonstrations', 'Strategic developments']",6,0
LBY,2019-02-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Disrupted weapons use', 'Looting/property destruction', 'Attack', 'Non-state actor overtakes territory', 'Air/drone strike', 'Change to group/activity', 'Non-violent transfer of territory', 'Excessive force against protesters', 'Agreement', 'Arrests', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",71,172
LKA,2019-02-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Arrests', 'Disrupted weapons use', 'Looting/property destruction', 'Attack', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",78,2
LSO,2019-02-01,"['Protests', 'Riots']","['Peaceful protest', 'Mob violence']","['Demonstrations', 'Political violence']",2,2
MAF,2019-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
MAR,2019-02-01,"['Protests', 'Strategic developments', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Arrests', 'Violent demonstration']","['Demonstrations', 'Strategic developments']",77,0
MDA,2019-02-01,"['Strategic developments', 'Protests']","['Change to group/activity', 'Peaceful protest', 'Other', 'Protest with intervention']","['Strategic developments', 'Demonstrations']",14,0
MDG,2019-02-01,"['Violence against civilians', 'Protests', 'Riots', 'Battles', 'Strategic developments']","['Attack', 'Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Abduction/forced disappearance', 'Sexual violence', 'Mob violence', 'Armed clash', 'Disrupted weapons use']","['Political violence', 'Demonstrations', 'Strategic developments']",29,18
MEX,2019-02-01,"['Protests', 'Violence against civilians', 'Battles', 'Strategic developments', 'Riots', 'Explosions/Remote violence']","['Peaceful protest', 'Attack', 'Armed clash', 'Looting/property destruction', 'Abduction/forced disappearance', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Arrests', 'Change to group/activity', 'Disrupted weapons use', 'Other', 'Sexual violence', 'Remote explosive/landmine/IED', 'Excessive force against protesters']","['Demonstrations', 'Political violence', 'Strategic developments', 'Political violence; Demonstrations']",1364,1001
MKD,2019-02-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Agreement', 'Change to group/activity']","['Demonstrations', 'Strategic developments']",11,0
MLI,2019-02-01,"['Protests', 'Riots', 'Strategic developments', 'Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Peaceful protest', 'Mob violence', 'Agreement', 'Armed clash', 'Remote explosive/landmine/IED', 'Looting/property destruction', 'Attack', 'Air/drone strike', 'Protest with intervention', 'Violent demonstration', 'Arrests', 'Abduction/forced disappearance']","['Demonstrations', 'Political violence', 'Strategic developments']",67,181
MMR,2019-02-01,"['Battles', 'Strategic developments', 'Violence against civilians', 'Protests', 'Explosions/Remote violence']","['Armed clash', 'Change to group/activity', 'Abduction/forced disappearance', 'Peaceful protest', 'Attack', 'Protest with intervention', 'Disrupted weapons use', 'Remote explosive/landmine/IED', 'Arrests', 'Shelling/artillery/missile attack']","['Political violence', 'Strategic developments', 'Demonstrations']",122,56
MNE,2019-02-01,"['Protests', 'Violence against civilians', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Attack', 'Looting/property destruction']","['Demonstrations', 'Political violence', 'Strategic developments']",13,0
MNG,2019-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
MOZ,2019-02-01,"['Violence against civilians', 'Riots', 'Protests']","['Attack', 'Sexual violence', 'Mob violence', 'Peaceful protest', 'Excessive force against protesters']","['Political violence', 'Demonstrations', 'Political violence; Demonstrations']",11,25
MRT,2019-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],5,0
MWI,2019-02-01,"['Protests', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Attack', 'Mob violence', 'Protest with intervention']","['Demonstrations', 'Political violence']",7,1
MYS,2019-02-01,"['Battles', 'Protests', 'Violence against civilians', 'Strategic developments', 'Riots']","['Armed clash', 'Peaceful protest', 'Abduction/forced disappearance', 'Protest with intervention', 'Attack', 'Looting/property destruction', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",24,2
NER,2019-02-01,"['Battles', 'Protests', 'Strategic developments', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Agreement', 'Looting/property destruction', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Suicide bomb', 'Abduction/forced disappearance', 'Attack', 'Other', 'Remote explosive/landmine/IED']","['Political violence', 'Demonstrations', 'Strategic developments']",30,45
NGA,2019-02-01,"['Strategic developments', 'Violence against civilians', 'Battles', 'Riots', 'Protests', 'Explosions/Remote violence']","['Looting/property destruction', 'Abduction/forced disappearance', 'Attack', 'Armed clash', 'Mob violence', 'Peaceful protest', 'Violent demonstration', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Suicide bomb', 'Change to group/activity', 'Disrupted weapons use', 'Protest with intervention']","['Strategic developments', 'Political violence', 'Demonstrations']",275,638
NIC,2019-02-01,"['Violence against civilians', 'Explosions/Remote violence', 'Protests', 'Riots', 'Strategic developments']","['Attack', 'Grenade', 'Abduction/forced disappearance', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Change to group/activity', 'Looting/property destruction', 'Other']","['Political violence', 'Demonstrations', 'Strategic developments']",18,1
NPL,2019-02-01,"['Explosions/Remote violence', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Arrests', 'Disrupted weapons use', 'Looting/property destruction', 'Attack']","['Political violence', 'Demonstrations', 'Strategic developments']",144,1
PAK,2019-02-01,"['Battles', 'Protests', 'Riots', 'Strategic developments', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Mob violence', 'Other', 'Remote explosive/landmine/IED', 'Suicide bomb', 'Excessive force against protesters', 'Disrupted weapons use', 'Attack', 'Protest with intervention', 'Arrests', 'Change to group/activity', 'Violent demonstration', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Agreement', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",706,59
PAN,2019-02-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Mob violence', 'Abduction/forced disappearance']","['Demonstrations', 'Political violence']",35,0
PER,2019-02-01,"['Protests', 'Riots']","['Peaceful protest', 'Violent demonstration']",['Demonstrations'],50,0
PHL,2019-02-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Strategic developments', 'Protests']","['Armed clash', 'Grenade', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Attack', 'Looting/property destruction', 'Peaceful protest', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments', 'Demonstrations']",117,125
PRI,2019-02-01,"['Violence against civilians', 'Battles', 'Protests', 'Strategic developments']","['Attack', 'Armed clash', 'Peaceful protest', 'Arrests']","['Political violence', 'Demonstrations', 'Strategic developments']",10,5
PRK,2019-02-01,['Violence against civilians'],['Attack'],['Political violence'],1,5
PRY,2019-02-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Attack']","['Demonstrations', 'Political violence']",22,0
PSE,2019-02-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Excessive force against protesters', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Looting/property destruction', 'Other', 'Attack', 'Arrests', 'Change to group/activity']","['Political violence', 'Political violence; Demonstrations', 'Demonstrations', 'Strategic developments']",488,7
ROU,2019-02-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Other']","['Demonstrations', 'Strategic developments']",98,0
RUS,2019-02-01,"['Protests', 'Violence against civilians', 'Riots', 'Battles']","['Peaceful protest', 'Attack', 'Protest with intervention', 'Abduction/forced disappearance', 'Violent demonstration', 'Armed clash']","['Demonstrations', 'Political violence']",168,5
RWA,2019-02-01,['Strategic developments'],['Other'],['Strategic developments'],1,0
SAU,2019-02-01,"['Battles', 'Explosions/Remote violence']","['Armed clash', 'Non-state actor overtakes territory', 'Shelling/artillery/missile attack']",['Political violence'],33,89
SDN,2019-02-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Excessive force against protesters', 'Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Attack', 'Arrests', 'Change to group/activity', 'Other', 'Abduction/forced disappearance', 'Sexual violence']","['Political violence', 'Political violence; Demonstrations', 'Demonstrations', 'Strategic developments']",169,38
SEN,2019-02-01,"['Protests', 'Riots', 'Strategic developments', 'Battles', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Arrests', 'Armed clash', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",8,2
SLE,2019-02-01,"['Riots', 'Battles']","['Mob violence', 'Armed clash', 'Violent demonstration']","['Political violence', 'Demonstrations']",7,2
SLV,2019-02-01,"['Battles', 'Violence against civilians', 'Protests', 'Strategic developments', 'Riots']","['Armed clash', 'Attack', 'Abduction/forced disappearance', 'Peaceful protest', 'Arrests', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",59,65
SOM,2019-02-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Air/drone strike', 'Grenade', 'Remote explosive/landmine/IED', 'Arrests', 'Change to group/activity', 'Disrupted weapons use', 'Attack', 'Abduction/forced disappearance', 'Suicide bomb', 'Peaceful protest', 'Non-violent transfer of territory', 'Shelling/artillery/missile attack', 'Violent demonstration', 'Sexual violence', 'Non-state actor overtakes territory', 'Protest with intervention']","['Political violence', 'Strategic developments', 'Demonstrations']",296,501
SRB,2019-02-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Battles']","['Peaceful protest', 'Looting/property destruction', 'Attack', 'Armed clash']","['Demonstrations', 'Strategic developments', 'Political violence']",231,0
SSD,2019-02-01,"['Battles', 'Strategic developments', 'Violence against civilians', 'Riots']","['Armed clash', 'Agreement', 'Change to group/activity', 'Looting/property destruction', 'Attack', 'Sexual violence', 'Mob violence']","['Political violence', 'Strategic developments']",52,93
SUR,2019-02-01,"['Violence against civilians', 'Protests']","['Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",3,1
SWZ,2019-02-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
SYR,2019-02-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Grenade', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Mob violence', 'Change to group/activity', 'Abduction/forced disappearance', 'Attack', 'Shelling/artillery/missile attack', 'Agreement', 'Disrupted weapons use', 'Looting/property destruction', 'Other', 'Air/drone strike', 'Violent demonstration', 'Arrests', 'Non-violent transfer of territory', 'Suicide bomb']","['Political violence', 'Demonstrations', 'Strategic developments']",1385,769
TCD,2019-02-01,"['Violence against civilians', 'Explosions/Remote violence', 'Strategic developments', 'Protests', 'Battles']","['Abduction/forced disappearance', 'Air/drone strike', 'Agreement', 'Peaceful protest', 'Arrests', 'Attack', 'Protest with intervention', 'Excessive force against protesters', 'Armed clash']","['Political violence', 'Strategic developments', 'Demonstrations', 'Political violence; Demonstrations']",25,65
THA,2019-02-01,"['Battles', 'Protests', 'Riots', 'Strategic developments', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Disrupted weapons use', 'Remote explosive/landmine/IED', 'Arrests', 'Attack']","['Political violence', 'Demonstrations', 'Strategic developments']",53,20
TTO,2019-02-01,"['Violence against civilians', 'Protests', 'Strategic developments', 'Battles']","['Attack', 'Peaceful protest', 'Arrests', 'Armed clash', 'Looting/property destruction']","['Political violence', 'Demonstrations', 'Strategic developments']",20,10
TUN,2019-02-01,"['Protests', 'Explosions/Remote violence', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Remote explosive/landmine/IED', 'Violent demonstration', 'Disrupted weapons use', 'Attack', 'Protest with intervention', 'Other']","['Demonstrations', 'Political violence', 'Strategic developments']",165,2
TUR,2019-02-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Strategic developments']","['Peaceful protest', 'Mob violence', 'Attack', 'Armed clash', 'Remote explosive/landmine/IED', 'Arrests', 'Protest with intervention', 'Abduction/forced disappearance', 'Disrupted weapons use', 'Air/drone strike', 'Change to group/activity', 'Looting/property destruction', 'Excessive force against protesters', 'Shelling/artillery/missile attack', 'Violent demonstration']","['Demonstrations', 'Political violence', 'Strategic developments', 'Political violence; Demonstrations']",240,0
TWN,2019-02-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Mob violence']","['Demonstrations', 'Political violence']",35,0
TZA,2019-02-01,"['Riots', 'Strategic developments', 'Violence against civilians']","['Mob violence', 'Arrests', 'Attack']","['Political violence', 'Strategic developments']",6,10
UGA,2019-02-01,"['Violence against civilians', 'Protests', 'Riots', 'Battles', 'Strategic developments']","['Attack', 'Peaceful protest', 'Mob violence', 'Violent demonstration', 'Protest with intervention', 'Armed clash', 'Looting/property destruction', 'Abduction/forced disappearance', 'Sexual violence']","['Political violence', 'Demonstrations', 'Strategic developments']",26,8
UKR,2019-02-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Riots']","['Peaceful protest', 'Disrupted weapons use', 'Looting/property destruction', 'Attack', 'Armed clash', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Change to group/activity', 'Abduction/forced disappearance', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Grenade']","['Demonstrations', 'Strategic developments', 'Political violence']",1259,78
URY,2019-02-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Mob violence', 'Attack']","['Demonstrations', 'Political violence']",6,1
UZB,2019-02-01,"['Violence against civilians', 'Strategic developments']","['Attack', 'Arrests']","['Political violence', 'Strategic developments']",2,0
VEN,2019-02-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Peaceful protest', 'Violent demonstration', 'Attack', 'Protest with intervention', 'Excessive force against protesters', 'Mob violence', 'Change to group/activity', 'Looting/property destruction', 'Other', 'Arrests', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Political violence; Demonstrations', 'Strategic developments']",466,254
VNM,2019-02-01,"['Riots', 'Protests', 'Violence against civilians']","['Mob violence', 'Peaceful protest', 'Protest with intervention', 'Attack']","['Political violence', 'Demonstrations']",7,0
XKX,2019-02-01,"['Protests', 'Riots', 'Violence against civilians', 'Strategic developments']","['Peaceful protest', 'Mob violence', 'Attack', 'Looting/property destruction']","['Demonstrations', 'Political violence', 'Strategic developments']",20,0
YEM,2019-02-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Government regains territory', 'Non-state actor overtakes territory', 'Grenade', 'Attack', 'Arrests', 'Air/drone strike', 'Change to group/activity', 'Disrupted weapons use', 'Looting/property destruction', 'Agreement', 'Other', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments']",1036,2366
ZAF,2019-02-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Attack', 'Excessive force against protesters']","['Demonstrations', 'Political violence', 'Political violence; Demonstrations']",145,17
ZMB,2019-02-01,"['Riots', 'Violence against civilians']","['Mob violence', 'Attack']",['Political violence'],4,3
ZWE,2019-02-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Attack', 'Abduction/forced disappearance']","['Demonstrations', 'Political violence']",5,1
ABW,2019-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
AFG,2019-03-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Protests', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Remote explosive/landmine/IED', 'Agreement', 'Peaceful protest', 'Attack', 'Disrupted weapons use', 'Looting/property destruction', 'Grenade']","['Political violence', 'Strategic developments', 'Demonstrations']",1052,3515
AGO,2019-03-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Attack']","['Demonstrations', 'Political violence']",6,2
ALB,2019-03-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Violent demonstration', 'Protest with intervention', 'Disrupted weapons use']","['Demonstrations', 'Strategic developments']",43,0
ARG,2019-03-01,"['Protests', 'Strategic developments', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Arrests', 'Mob violence', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",77,0
ARM,2019-03-01,"['Protests', 'Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Riots', 'Strategic developments']","['Peaceful protest', 'Armed clash', 'Shelling/artillery/missile attack', 'Attack', 'Mob violence', 'Violent demonstration', 'Change to group/activity']","['Demonstrations', 'Political violence', 'Strategic developments']",145,0
ATG,2019-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
AZE,2019-03-01,"['Battles', 'Strategic developments', 'Protests']","['Armed clash', 'Change to group/activity', 'Peaceful protest', 'Protest with intervention', 'Other']","['Political violence', 'Strategic developments', 'Demonstrations']",489,4
BDI,2019-03-01,"['Battles', 'Violence against civilians', 'Explosions/Remote violence', 'Strategic developments', 'Riots', 'Protests']","['Armed clash', 'Attack', 'Grenade', 'Change to group/activity', 'Looting/property destruction', 'Abduction/forced disappearance', 'Mob violence', 'Sexual violence', 'Protest with intervention', 'Violent demonstration', 'Arrests']","['Political violence', 'Strategic developments', 'Demonstrations']",76,23
BEN,2019-03-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration']",['Demonstrations'],8,0
BFA,2019-03-01,"['Battles', 'Riots', 'Protests', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Mob violence', 'Peaceful protest', 'Change to group/activity', 'Attack', 'Looting/property destruction', 'Abduction/forced disappearance', 'Remote explosive/landmine/IED', 'Arrests', 'Other', 'Violent demonstration']","['Political violence', 'Demonstrations', 'Strategic developments']",88,242
BGD,2019-03-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles', 'Strategic developments']","['Peaceful protest', 'Mob violence', 'Attack', 'Armed clash', 'Protest with intervention', 'Violent demonstration', 'Sexual violence', 'Arrests']","['Demonstrations', 'Political violence', 'Strategic developments']",206,49
BGR,2019-03-01,"['Riots', 'Protests', 'Strategic developments']","['Violent demonstration', 'Peaceful protest', 'Arrests']","['Demonstrations', 'Strategic developments']",31,0
BHR,2019-03-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration']",['Demonstrations'],67,0
BIH,2019-03-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Looting/property destruction', 'Attack', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",21,0
BLR,2019-03-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],19,0
BLZ,2019-03-01,"['Battles', 'Violence against civilians', 'Strategic developments', 'Protests', 'Riots']","['Armed clash', 'Attack', 'Looting/property destruction', 'Protest with intervention', 'Mob violence', 'Peaceful protest']","['Political violence', 'Strategic developments', 'Demonstrations']",20,10
BOL,2019-03-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Mob violence']","['Demonstrations', 'Political violence']",32,0
BRA,2019-03-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians', 'Strategic developments', 'Explosions/Remote violence']","['Armed clash', 'Peaceful protest', 'Violent demonstration', 'Attack', 'Arrests', 'Looting/property destruction', 'Remote explosive/landmine/IED', 'Disrupted weapons use', 'Abduction/forced disappearance', 'Mob violence', 'Protest with intervention', 'Sexual violence', 'Other']","['Political violence', 'Demonstrations', 'Strategic developments']",1359,528
CAF,2019-03-01,"['Battles', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Agreement', 'Change to group/activity', 'Disrupted weapons use', 'Other', 'Attack', 'Looting/property destruction', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments']",42,49
CHL,2019-03-01,"['Protests', 'Battles', 'Riots', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Armed clash', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Looting/property destruction', 'Attack', 'Disrupted weapons use', 'Sexual violence']","['Demonstrations', 'Political violence', 'Strategic developments']",99,1
CHN,2019-03-01,"['Protests', 'Violence against civilians', 'Strategic developments', 'Riots', 'Explosions/Remote violence']","['Peaceful protest', 'Abduction/forced disappearance', 'Attack', 'Protest with intervention', 'Agreement', 'Looting/property destruction', 'Other', 'Sexual violence', 'Change to group/activity', 'Violent demonstration', 'Mob violence', 'Excessive force against protesters', 'Suicide bomb']","['Demonstrations', 'Political violence', 'Strategic developments', 'Political violence; Demonstrations']",353,2
CIV,2019-03-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Attack']","['Political violence', 'Demonstrations']",20,3
CMR,2019-03-01,"['Violence against civilians', 'Protests', 'Strategic developments', 'Riots', 'Battles', 'Explosions/Remote violence']","['Attack', 'Peaceful protest', 'Arrests', 'Violent demonstration', 'Armed clash', 'Remote explosive/landmine/IED', 'Looting/property destruction', 'Abduction/forced disappearance', 'Mob violence', 'Protest with intervention']","['Political violence', 'Demonstrations', 'Strategic developments']",99,112
COD,2019-03-01,"['Protests', 'Strategic developments', 'Violence against civilians', 'Battles', 'Riots']","['Peaceful protest', 'Looting/property destruction', 'Abduction/forced disappearance', 'Attack', 'Armed clash', 'Mob violence', 'Violent demonstration', 'Excessive force against protesters', 'Other', 'Government regains territory', 'Non-state actor overtakes territory', 'Protest with intervention', 'Agreement', 'Sexual violence', 'Change to group/activity']","['Demonstrations', 'Strategic developments', 'Political violence', 'Political violence; Demonstrations']",276,254
COG,2019-03-01,"['Protests', 'Strategic developments']","['Protest with intervention', 'Change to group/activity', 'Looting/property destruction']","['Demonstrations', 'Strategic developments']",3,0
COL,2019-03-01,"['Battles', 'Explosions/Remote violence', 'Protests', 'Riots', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Grenade', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Protest with intervention', 'Mob violence', 'Violent demonstration', 'Disrupted weapons use', 'Other', 'Attack', 'Agreement', 'Looting/property destruction', 'Abduction/forced disappearance', 'Shelling/artillery/missile attack', 'Excessive force against protesters']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",366,186
CRI,2019-03-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Attack']","['Demonstrations', 'Political violence']",23,2
CYM,2019-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
CYP,2019-03-01,"['Protests', 'Strategic developments', 'Riots']","['Peaceful protest', 'Looting/property destruction', 'Mob violence']","['Demonstrations', 'Strategic developments', 'Political violence']",19,0
DMA,2019-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
DOM,2019-03-01,"['Riots', 'Protests']","['Mob violence', 'Peaceful protest']","['Political violence', 'Demonstrations']",2,0
DZA,2019-03-01,"['Protests', 'Strategic developments']","['Peaceful protest', 'Disrupted weapons use']","['Demonstrations', 'Strategic developments']",249,0
ECU,2019-03-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Mob violence', 'Violent demonstration', 'Other']","['Demonstrations', 'Political violence', 'Strategic developments']",20,0
EGY,2019-03-01,"['Protests', 'Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Strategic developments']","['Protest with intervention', 'Peaceful protest', 'Abduction/forced disappearance', 'Attack', 'Armed clash', 'Sexual violence', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Disrupted weapons use', 'Looting/property destruction']","['Demonstrations', 'Political violence', 'Strategic developments']",57,85
ETH,2019-03-01,"['Strategic developments', 'Violence against civilians', 'Protests', 'Riots', 'Battles']","['Disrupted weapons use', 'Attack', 'Peaceful protest', 'Mob violence', 'Armed clash', 'Violent demonstration']","['Strategic developments', 'Political violence', 'Demonstrations']",23,19
GAB,2019-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],4,0
GEO,2019-03-01,"['Protests', 'Violence against civilians', 'Riots']","['Peaceful protest', 'Attack', 'Mob violence', 'Protest with intervention', 'Violent demonstration']","['Demonstrations', 'Political violence']",88,1
GHA,2019-03-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles', 'Strategic developments']","['Peaceful protest', 'Mob violence', 'Violent demonstration', 'Abduction/forced disappearance', 'Armed clash', 'Looting/property destruction', 'Attack']","['Demonstrations', 'Political violence', 'Strategic developments']",26,6
GIN,2019-03-01,"['Protests', 'Riots', 'Strategic developments']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Looting/property destruction']","['Demonstrations', 'Strategic developments']",12,1
GMB,2019-03-01,"['Battles', 'Riots']","['Armed clash', 'Violent demonstration']","['Political violence', 'Demonstrations']",2,1
GNQ,2019-03-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
GRC,2019-03-01,"['Riots', 'Strategic developments', 'Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Protests']","['Mob violence', 'Arrests', 'Attack', 'Armed clash', 'Grenade', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Looting/property destruction', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments', 'Demonstrations']",83,1
GTM,2019-03-01,"['Battles', 'Protests', 'Violence against civilians', 'Riots', 'Explosions/Remote violence', 'Strategic developments']","['Armed clash', 'Peaceful protest', 'Attack', 'Mob violence', 'Violent demonstration', 'Grenade', 'Looting/property destruction', 'Abduction/forced disappearance']","['Political violence', 'Demonstrations', 'Strategic developments']",127,97
GUY,2019-03-01,['Protests'],['Peaceful protest'],['Demonstrations'],4,0
HND,2019-03-01,"['Protests', 'Violence against civilians', 'Strategic developments', 'Riots', 'Battles']","['Peaceful protest', 'Attack', 'Looting/property destruction', 'Violent demonstration', 'Armed clash', 'Mob violence', 'Change to group/activity', 'Protest with intervention']","['Demonstrations', 'Political violence', 'Strategic developments']",80,35
