iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
CAF,2006-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],2,3
CIV,2006-01-01,['Battles'],['Armed clash'],['Political violence'],5,4
COD,2006-01-01,"['Violence against civilians', 'Battles', 'Strategic developments']","['Attack', 'Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Change to group/activity', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments']",60,49
DZA,2006-01-01,"['Battles', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Attack', 'Government regains territory', 'Remote explosive/landmine/IED']",['Political violence'],10,14
ETH,2006-01-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles']","['Peaceful protest', 'Violent demonstration', 'Attack', 'Armed clash']","['Demonstrations', 'Political violence']",22,89
KEN,2006-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],5,37
LBY,2006-01-01,"['Riots', 'Protests']","['Violent demonstration', 'Peaceful protest']",['Demonstrations'],4,5
LSO,2006-01-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
NER,2006-01-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
NGA,2006-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Attack']",['Political violence'],8,12
RWA,2006-01-01,['Strategic developments'],['Looting/property destruction'],['Strategic developments'],1,0
SDN,2006-01-01,"['Violence against civilians', 'Battles', 'Explosions/Remote violence', 'Strategic developments']","['Attack', 'Armed clash', 'Government regains territory', 'Air/drone strike', 'Change to group/activity', 'Abduction/forced disappearance', 'Other']","['Political violence', 'Strategic developments']",20,95
SOM,2006-01-01,"['Battles', 'Violence against civilians', 'Protests']","['Armed clash', 'Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",32,127
SWZ,2006-01-01,['Explosions/Remote violence'],['Remote explosive/landmine/IED'],['Political violence'],1,0
TCD,2006-01-01,"['Strategic developments', 'Violence against civilians']","['Other', 'Arrests', 'Abduction/forced disappearance', 'Attack']","['Strategic developments', 'Political violence']",5,0
TZA,2006-01-01,['Violence against civilians'],['Attack'],['Political violence'],1,4
UGA,2006-01-01,"['Violence against civilians', 'Battles', 'Strategic developments']","['Attack', 'Armed clash', 'Change to group/activity']","['Political violence', 'Strategic developments']",11,62
ZAF,2006-01-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],2,0
ZWE,2006-01-01,"['Protests', 'Violence against civilians']","['Excessive force against protesters', 'Attack']","['Political violence; Demonstrations', 'Political violence']",4,0
AGO,2006-02-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
BDI,2006-02-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],14,35
CAF,2006-02-01,['Battles'],"['Armed clash', 'Government regains territory']",['Political violence'],5,28
CIV,2006-02-01,"['Protests', 'Violence against civilians']","['Protest with intervention', 'Attack']","['Demonstrations', 'Political violence']",2,12
COD,2006-02-01,"['Strategic developments', 'Battles', 'Violence against civilians']","['Non-violent transfer of territory', 'Change to group/activity', 'Armed clash', 'Attack', 'Government regains territory']","['Strategic developments', 'Political violence']",34,14
DJI,2006-02-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
DZA,2006-02-01,"['Protests', 'Battles', 'Explosions/Remote violence']","['Protest with intervention', 'Armed clash', 'Remote explosive/landmine/IED', 'Peaceful protest']","['Demonstrations', 'Political violence']",7,3
ERI,2006-02-01,['Strategic developments'],['Arrests'],['Strategic developments'],1,0
ETH,2006-02-01,['Protests'],"['Excessive force against protesters', 'Peaceful protest']","['Political violence; Demonstrations', 'Demonstrations']",4,0
GIN,2006-02-01,"['Protests', 'Strategic developments']","['Excessive force against protesters', 'Arrests']","['Political violence; Demonstrations', 'Strategic developments']",3,2
KEN,2006-02-01,"['Violence against civilians', 'Protests', 'Riots', 'Battles']","['Abduction/forced disappearance', 'Attack', 'Peaceful protest', 'Violent demonstration', 'Armed clash']","['Political violence', 'Demonstrations']",7,6
LBY,2006-02-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,12
MAR,2006-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
MWI,2006-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
NAM,2006-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
NER,2006-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
