iso3,month,monthly_displacement
AZE,2021-02-01,0.0
AZE,2021-03-01,0.0
AZE,2021-04-01,0.0
AZE,2021-05-01,0.0
AZE,2021-06-01,0.0
AZE,2021-07-01,0.0
AZE,2021-08-01,0.0
AZE,2021-09-01,0.0
AZE,2021-10-01,0.0
AZE,2021-11-01,0.0
AZE,2021-12-01,0.0
AZE,2022-01-01,0.0
AZE,2022-02-01,0.0
AZE,2022-03-01,0.0
AZE,2022-04-01,0.0
AZE,2022-05-01,0.0
AZE,2022-06-01,0.0
AZE,2022-07-01,0.0
AZE,2022-08-01,0.0
AZE,2022-09-01,0.0
AZE,2022-10-01,0.0
AZE,2022-11-01,0.0
AZE,2022-12-01,0.0
AZE,2023-01-01,0.0
AZE,2023-02-01,0.0
AZE,2023-03-01,0.0
AZE,2023-04-01,0.0
AZE,2023-05-01,0.0
AZE,2023-06-01,0.0
AZE,2023-07-01,0.0
AZE,2023-08-01,0.0
AZE,2023-09-01,5070.0
AZE,2023-10-01,0.0
AZE,2023-11-01,0.0
AZE,2023-12-01,0.0
AZE,2024-01-01,0.0
AZE,2024-02-01,0.0
AZE,2024-03-01,0.0
AZE,2024-04-01,0.0
AZE,2024-05-01,0.0
AZE,2024-06-01,0.0
AZE,2024-07-01,0.0
AZE,2024-08-01,0.0
AZE,2024-09-01,0.0
AZE,2024-10-01,0.0
AZE,2024-11-01,0.0
AZE,2024-12-01,0.0
AZE,2025-01-01,0.0
AZE,2025-02-01,0.0
AZE,2025-03-01,0.0
AZE,2025-04-01,0.0
AZE,2025-05-01,0.0
AZE,2025-06-01,0.0
AZE,2025-07-01,0.0
AZE,2025-08-01,0.0
AZE,2025-09-01,0.0
AZE,2025-10-01,0.0
AZE,2025-11-01,0.0
AZE,2025-12-01,0.0
AZE,2026-01-01,0.0
AZE,2026-02-01,0.0
AZE,2026-03-01,0.0
AZE,2026-04-01,0.0
BDI,2018-01-01,0.0
BDI,2018-02-01,0.0
BDI,2018-03-01,0.0
BDI,2018-04-01,0.0
BDI,2018-05-01,0.0
BDI,2018-06-01,0.0
BDI,2018-07-01,0.0
BDI,2018-08-01,0.0
BDI,2018-09-01,0.0
BDI,2018-10-01,0.0
BDI,2018-11-01,0.0
BDI,2018-12-01,0.0
BDI,2019-01-01,0.0
BDI,2019-02-01,0.0
BDI,2019-03-01,0.0
BDI,2019-04-01,0.0
BDI,2019-05-01,0.0
BDI,2019-06-01,0.0
BDI,2019-07-01,0.0
BDI,2019-08-01,0.0
BDI,2019-09-01,0.0
BDI,2019-10-01,0.0
BDI,2019-11-01,0.0
BDI,2019-12-01,0.0
BDI,2020-01-01,0.0
BDI,2020-02-01,0.0
BDI,2020-03-01,30.000000004
BDI,2020-04-01,0.0
BDI,2020-05-01,0.0
BDI,2020-06-01,0.0
BDI,2020-07-01,0.0
BDI,2020-08-01,0.0
BDI,2020-09-01,0.0
BDI,2020-10-01,0.0
BDI,2020-11-01,0.0
BDI,2020-12-01,0.0
BDI,2021-01-01,24.0
BDI,2021-02-01,27.999999993
BDI,2021-03-01,2.99999999
BDI,2021-04-01,19.000000005
BDI,2021-05-01,4.999999992
BDI,2021-06-01,2.9999999920000002
BDI,2021-07-01,5.999999994
BDI,2021-08-01,2.0
BDI,2021-09-01,3.9999999899999996
BDI,2021-10-01,0.0
BDI,2021-11-01,0.0
BDI,2021-12-01,0.0
BDI,2022-01-01,0.0
BDI,2022-02-01,0.0
BDI,2022-03-01,0.0
BDI,2022-04-01,45.000000008
BDI,2022-05-01,0.0
BDI,2022-06-01,0.0
BDI,2022-07-01,297.99999999
BDI,2022-08-01,0.0
BDI,2022-09-01,0.0
BDI,2022-10-01,258.0
BDI,2022-11-01,0.0
BDI,2022-12-01,0.0
BDI,2023-01-01,0.0
BDI,2023-02-01,0.0
BDI,2023-03-01,105.99999998
BDI,2023-04-01,0.0
BDI,2023-05-01,0.0
BDI,2023-06-01,0.0
BDI,2023-07-01,0.0
BDI,2023-08-01,0.0
BDI,2023-09-01,0.0
BDI,2023-10-01,0.0
BDI,2023-11-01,0.0
BDI,2023-12-01,0.0
BDI,2024-01-01,45.351463949999996
BDI,2024-02-01,42.425563049999994
BDI,2024-03-01,45.351463949999996
BDI,2024-04-01,43.888513499999995
BDI,2024-05-01,45.351463949999996
BDI,2024-06-01,43.888513499999995
BDI,2024-07-01,45.351463949999996
BDI,2024-08-01,39.968130617999996
BDI,2024-09-01,3.51351351
BDI,2024-10-01,3.6306306270000004
BDI,2024-11-01,3.279279276
BDI,2024-12-01,0.0
BDI,2025-01-01,0.0
BDI,2025-02-01,0.0
BDI,2025-03-01,0.0
BDI,2025-04-01,0.0
BDI,2025-05-01,0.0
BDI,2025-06-01,0.0
BDI,2025-07-01,0.0
BDI,2025-08-01,0.0
BDI,2025-09-01,0.0
BDI,2025-10-01,0.0
BDI,2025-11-01,0.0
BDI,2025-12-01,0.0
BDI,2026-01-01,0.0
BDI,2026-02-01,0.0
BDI,2026-03-01,0.0
BDI,2026-04-01,0.0
BEN,2018-01-01,0.0
BEN,2018-02-01,0.0
BEN,2018-03-01,0.0
BEN,2018-04-01,0.0
BEN,2018-05-01,0.0
BEN,2018-06-01,0.0
BEN,2018-07-01,0.0
BEN,2018-08-01,0.0
BEN,2018-09-01,0.0
BEN,2018-10-01,0.0
BEN,2018-11-01,0.0
BEN,2018-12-01,0.0
BEN,2019-01-01,0.0
BEN,2019-02-01,0.0
BEN,2019-03-01,0.0
BEN,2019-04-01,0.0
BEN,2019-05-01,0.0
BEN,2019-06-01,0.0
BEN,2019-07-01,0.0
BEN,2019-08-01,0.0
BEN,2019-09-01,0.0
BEN,2019-10-01,0.0
BEN,2019-11-01,0.0
BEN,2019-12-01,185.0
BEN,2020-01-01,0.0
BEN,2020-02-01,0.0
BEN,2020-03-01,0.0
BEN,2020-04-01,0.0
BEN,2020-05-01,3.0
BEN,2020-06-01,6.0
BEN,2020-07-01,0.0
BEN,2020-08-01,0.0
BEN,2020-09-01,0.0
BEN,2020-10-01,0.0
BEN,2020-11-01,0.0
BEN,2020-12-01,0.0
BEN,2021-01-01,0.0
BEN,2021-02-01,0.0
BEN,2021-03-01,0.0
BEN,2021-04-01,0.0
BEN,2021-05-01,0.0
BEN,2021-06-01,0.0
BEN,2021-07-01,0.0
BEN,2021-08-01,0.0
BEN,2021-09-01,0.0
BEN,2021-10-01,0.0
BEN,2021-11-01,0.0
BEN,2021-12-01,0.0
BEN,2022-01-01,0.0
BEN,2022-02-01,0.0
BEN,2022-03-01,0.0
BEN,2022-04-01,0.0
BEN,2022-05-01,0.0
BEN,2022-06-01,0.0
BEN,2022-07-01,0.0
BEN,2022-08-01,0.0
BEN,2022-09-01,0.0
BEN,2022-10-01,0.0
BEN,2022-11-01,0.0
BEN,2022-12-01,0.0
BEN,2023-01-01,0.0
BEN,2023-02-01,0.0
BEN,2023-03-01,0.0
BEN,2023-04-01,0.0
BEN,2023-05-01,0.0
BEN,2023-06-01,0.0
BEN,2023-07-01,0.0
BEN,2023-08-01,0.0
BEN,2023-09-01,0.0
BEN,2023-10-01,0.0
BEN,2023-11-01,0.0
BEN,2023-12-01,0.0
BEN,2024-01-01,0.0
BEN,2024-02-01,0.0
BEN,2024-03-01,0.0
BEN,2024-04-01,0.0
BEN,2024-05-01,0.0
BEN,2024-06-01,0.0
BEN,2024-07-01,0.0
BEN,2024-08-01,0.0
BEN,2024-09-01,0.0
BEN,2024-10-01,0.0
BEN,2024-11-01,0.0
BEN,2024-12-01,0.0
BEN,2025-01-01,0.0
BEN,2025-02-01,300.0
BEN,2025-03-01,0.0
BEN,2025-04-01,0.0
BEN,2025-05-01,0.0
BEN,2025-06-01,3046.0
BEN,2025-07-01,0.0
BEN,2025-08-01,0.0
BEN,2025-09-01,0.0
BEN,2025-10-01,0.0
BEN,2025-11-01,0.0
BEN,2025-12-01,0.0
